0.395917,0.003029,0.232911
,0.403561,0.003332,0.164831
,0.404485,0.003082,0.074545
,0.404655,0.005030,-0.015852
,0.404404,0.006559,-0.099335
,0.396031,0.006018,-0.185898
,0.242231,-0.000494,0.243270
,0.241721,-0.000054,0.165685
,0.242085,0.000640,0.075392
,0.242143,0.002327,-0.014280
,0.241980,0.001958,-0.096097
,0.242972,0.000122,-0.186891
,0.093323,-0.004150,0.244266
,0.093408,-0.003145,0.166720
,0.093440,-0.001368,0.076394
,0.093415,-0.000356,-0.012746
,0.093341,0.000072,-0.094751
,0.093761,-0.003624,-0.185082
,-0.068712,-0.005745,0.244288
,-0.068421,-0.005181,0.166796
,-0.068506,-0.003816,0.076517
,-0.068533,-0.002427,-0.012898
,-0.068513,-0.002379,-0.094817
,-0.068698,-0.004715,-0.185706
,-0.219110,-0.004112,0.242718
,-0.218495,-0.004728,0.165366
,-0.218646,-0.005166,0.075361
,-0.218765,-0.003423,-0.014565
,-0.218415,-0.001753,-0.097580
,-0.219160,-0.002955,-0.189343
,-0.372434,0.005259,0.232101
,-0.379918,0.005786,0.163987
,-0.380718,0.005737,0.073800
,-0.380654,0.007280,-0.016606
,-0.380098,0.010350,-0.100092
,-0.371708,0.007823,-0.186115
,0.394581,0.337552,0.224582
,0.430798,0.304414,0.153710
,0.478400,0.301347,0.073518
,0.467061,0.298808,-0.014262
,0.420106,0.296073,-0.087272
,0.370210,0.292633,-0.170130
,0.242541,0.302819,0.270689
,0.243566,0.325015,0.197858
,0.243704,0.336751,0.110032
,0.243135,0.330448,0.019964
,0.240854,0.295580,-0.056525
,0.228334,0.305550,-0.246502
,0.091429,0.270456,0.272714
,0.094256,0.280710,0.204635
,0.097822,0.284062,0.117399
,0.092849,0.305725,0.027556
,0.091511,0.283901,-0.048370
,0.084621,0.260505,-0.290730
,-0.072034,0.265848,0.271921
,-0.075131,0.278453,0.203400
,-0.076949,0.288420,0.115780
,-0.072949,0.308839,0.025271
,-0.069923,0.302270,-0.054378
,-0.073668,0.274223,-0.292485
,-0.217721,0.297594,0.270330
,-0.219310,0.312036,0.196222
,-0.216946,0.323902,0.108622
,-0.214702,0.325249,0.018877
,-0.213694,0.312753,-0.062992
,-0.212428,0.287752,-0.248892
,-0.362598,0.305884,0.224419
,-0.410801,0.335205,0.156499
,-0.448347,0.333696,0.072348
,-0.445626,0.331217,-0.015992
,-0.403867,0.326824,-0.090927
,-0.350120,0.291672,-0.170696
,0.382719,0.037557,0.224366
,0.439993,0.036675,0.164171
,0.456243,0.031638,0.075205
,0.457253,0.032307,-0.015676
,0.447951,0.037239,-0.099209
,0.379594,0.035413,-0.170476
,0.243819,0.013671,-0.234125
,0.093300,0.007915,-0.230429
,-0.069535,0.008504,-0.232919
,-0.220602,0.011670,-0.236807
,-0.357428,0.042162,-0.175153
,-0.420921,0.040727,-0.099374
,-0.433225,0.035228,-0.016450
,-0.432121,0.035391,0.074639
,-0.418860,0.040926,0.164617
,-0.361341,0.041885,0.223098
,-0.219818,0.026554,0.288421
,-0.068957,0.024022,0.290906
,0.093695,0.026044,0.290553
,0.243280,0.029595,0.288510
,0.376294,0.112981,0.215710
,0.437113,0.109583,0.159394
,0.474817,0.106669,0.075267
,0.476329,0.105792,-0.014905
,0.439736,0.109613,-0.091875
,0.364616,0.102840,-0.159181
,0.237061,0.083620,-0.244986
,0.091493,0.056859,-0.264181
,-0.069985,0.066890,-0.268479
,-0.216078,0.088313,-0.249286
,-0.334656,0.104549,-0.157916
,-0.400554,0.107714,-0.084600
,-0.451998,0.106731,-0.015475
,-0.448475,0.108500,0.074249
,-0.414118,0.115408,0.159184
,-0.351561,0.114225,0.214023
,-0.218755,0.105874,0.300361
,-0.069063,0.098177,0.312820
,0.094431,0.102631,0.312181
,0.243914,0.109214,0.299652
,0.384089,0.185601,0.220358
,0.440425,0.183665,0.159664
,0.479246,0.180068,0.075669
,0.473288,0.178937,-0.014118
,0.426260,0.177799,-0.085159
,0.356671,0.175760,-0.156243
,0.235463,0.154328,-0.250653
,0.089030,0.124692,-0.278976
,-0.071429,0.142205,-0.286029
,-0.212082,0.167750,-0.246956
,-0.339780,0.176598,-0.159289
,-0.412226,0.177167,-0.091168
